sample_id,original_class,mapped_class,prediction,confidence,uncertainty,is_confident
0,1,0,3,0.8943247,0.41942543,True
1,1,0,3,0.9174848,0.33940014,True
2,1,0,3,0.94667476,0.25467998,True
3,1,0,3,0.9274153,0.31370258,True
4,1,0,3,0.9200088,0.33938238,True
5,1,0,3,0.96581125,0.1779101,True
6,1,0,3,0.9191826,0.34297794,True
7,1,0,3,0.89735264,0.39788908,True
8,1,0,3,0.944209,0.25816154,True
9,1,0,3,0.8917788,0.43857414,False
10,1,0,3,0.88746303,0.43614402,False
11,1,0,3,0.9371467,0.27548006,True
12,1,0,3,0.87942326,0.45649913,False
13,1,0,3,0.912257,0.35455254,True
14,1,0,3,0.88043654,0.45926052,False
15,1,0,3,0.893321,0.426354,False
16,1,0,3,0.91850656,0.34568158,True
17,1,0,3,0.9240743,0.32855755,True
18,1,0,3,0.9387265,0.27878195,True
19,1,0,3,0.8599816,0.523564,False
20,2,3,3,0.9134598,0.3271473,True
21,2,3,3,0.89743537,0.3729219,True
22,2,3,3,0.89611197,0.41085577,True
23,2,3,3,0.9557921,0.21762998,True
24,2,3,3,0.90611666,0.3841364,True
25,2,3,3,0.8911342,0.4378533,False
26,2,3,3,0.898518,0.40670893,True
27,2,3,3,0.8701167,0.48810604,False
28,2,3,3,0.90305907,0.4000534,True
29,2,3,3,0.9023075,0.40338537,True
30,2,3,3,0.93389183,0.29688552,True
31,2,3,3,0.8914496,0.42146227,True
32,2,3,3,0.9431483,0.2635952,True
33,2,3,3,0.9483405,0.23944107,True
34,2,3,3,0.907702,0.39038473,True
35,2,3,3,0.8987122,0.414182,True
36,2,3,3,0.941681,0.26841632,True
37,2,3,3,0.8807673,0.45141962,False
38,2,3,3,0.89881665,0.40166694,True
39,2,3,3,0.9249566,0.31266776,True
40,3,3,3,0.91020566,0.36582872,True
41,3,3,3,0.9220958,0.3307333,True
42,3,3,3,0.93926775,0.27618498,True
43,3,3,3,0.8972751,0.39196366,True
44,3,3,3,0.90494984,0.39751917,True
45,3,3,3,0.8994219,0.38712555,True
46,3,3,3,0.9047116,0.3853345,True
47,3,3,3,0.80301344,0.651825,False
48,3,3,3,0.8857036,0.44961506,False
49,3,3,3,0.9484021,0.2507036,True
50,3,3,3,0.9145042,0.35079512,True
51,3,3,3,0.90404636,0.39181954,True
52,3,3,3,0.9339633,0.289332,True
53,3,3,3,0.88552266,0.45054382,False
54,3,3,3,0.9155305,0.34795302,True
55,3,3,3,0.90167487,0.4011028,True
56,3,3,3,0.9214876,0.3436086,True
57,3,3,3,0.932473,0.2966328,True
58,3,3,3,0.9006983,0.4053615,True
59,4,3,3,0.90630513,0.37579066,True
60,4,3,3,0.9321658,0.2937879,True
61,4,3,3,0.9302324,0.30310434,True
62,4,3,3,0.89241266,0.41791868,True
63,4,3,3,0.93694586,0.29049152,True
64,4,3,3,0.90585023,0.38947397,True
65,4,3,3,0.9270099,0.317879,True
66,4,3,3,0.9189051,0.3423674,True
67,4,3,3,0.8966314,0.41651174,True
68,4,3,3,0.91401905,0.35732695,True
69,4,3,3,0.9424099,0.26113886,True
70,4,3,3,0.92354393,0.3284879,True
71,4,3,3,0.9312541,0.31113604,True
72,4,3,3,0.91804826,0.34476945,True
73,4,3,3,0.9198206,0.35141087,True
74,4,3,3,0.9266847,0.31520176,True
75,4,3,3,0.9275107,0.3137948,True
76,4,3,3,0.89265555,0.42466834,False
77,4,3,3,0.89930934,0.41182464,True
78,4,3,3,0.9086793,0.38489372,True
79,5,3,3,0.8831873,0.44342664,False
80,5,3,3,0.9003086,0.3966763,True
81,5,3,3,0.9454419,0.2532087,True
82,5,3,3,0.9476684,0.2469831,True
83,5,3,3,0.92140716,0.3288903,True
84,5,3,3,0.89679515,0.4142678,True
85,5,3,3,0.915743,0.3566888,True
86,5,3,3,0.93968105,0.27682024,True
87,5,3,3,0.8812167,0.44712278,False
88,5,3,3,0.9148751,0.35900858,True
89,5,3,3,0.8895793,0.4452798,False
90,5,3,3,0.8820842,0.46427348,False
91,5,3,3,0.90207684,0.39477372,True
92,5,3,3,0.8890191,0.4195393,True
93,5,3,3,0.9206324,0.3376917,True
94,5,3,3,0.9104966,0.36425814,True
95,5,3,3,0.9313129,0.30528304,True
96,5,3,3,0.9519292,0.23470488,True
97,5,3,3,0.88493645,0.43496817,False
98,5,3,3,0.89900786,0.40902963,True
99,6,3,3,0.914575,0.35681453,True
100,6,3,3,0.87866193,0.45979685,False
101,6,3,3,0.92635286,0.31932825,True
102,6,3,3,0.90272933,0.3761323,True
103,6,3,3,0.8462824,0.5417082,False
104,6,3,3,0.9306067,0.30591312,True
105,6,3,3,0.85850775,0.51109976,False
106,6,3,3,0.88004386,0.4517939,False
107,6,3,3,0.91746575,0.35575104,True
108,6,3,3,0.8577084,0.5212041,False
109,6,3,3,0.9355807,0.28685218,True
110,6,3,3,0.9041877,0.3821253,True
111,6,3,3,0.91788787,0.35240325,True
112,6,3,3,0.91415405,0.35711965,True
113,6,3,3,0.8771815,0.45690674,False
114,6,3,3,0.90041685,0.39053008,True
115,6,3,3,0.8754057,0.4525213,False
116,6,3,3,0.8673996,0.48479158,False
117,6,3,3,0.8978988,0.39372322,True
118,7,3,3,0.92169,0.34261087,True
119,7,3,3,0.8943432,0.42145547,True
120,7,3,3,0.92836434,0.30670118,True
121,7,3,3,0.8954005,0.41235968,True
122,7,3,3,0.94394195,0.25771037,True
123,7,3,3,0.90766567,0.37795904,True
124,7,3,3,0.87162656,0.47058678,False
125,7,3,3,0.92961776,0.30546904,True
126,7,3,3,0.9263579,0.31879553,True
127,7,3,3,0.8943995,0.4048223,True
128,7,3,3,0.8918913,0.4243022,True
129,7,3,3,0.9356759,0.28470388,True
