sample_id,original_class,mapped_class,prediction,confidence,uncertainty,rejected
0,1,0,3,0.8643893,0.49747762,False
1,1,0,3,0.8991954,0.4026895,False
2,1,0,3,0.85547924,0.5219115,False
3,1,0,3,0.93405235,0.2911234,False
4,1,0,3,0.8985273,0.3892541,False
5,1,0,3,0.850794,0.52003276,False
6,1,0,3,0.94088084,0.26786032,False
7,1,0,3,0.8627073,0.49247524,False
8,1,0,3,0.92949295,0.31354722,False
9,1,0,3,0.9115025,0.3623321,False
10,1,0,3,0.82842815,0.5832259,True
11,1,0,3,0.9157513,0.3540773,False
12,1,0,3,0.8418695,0.5586098,True
13,1,0,3,0.9354244,0.28428864,False
14,1,0,3,0.86452395,0.47749928,False
15,1,0,3,0.8778218,0.43766764,False
16,1,0,3,0.85968703,0.5095611,False
17,1,0,3,0.9318033,0.2932706,False
18,1,0,3,0.8412427,0.5637056,True
19,1,0,3,0.8902139,0.43590608,False
20,2,3,3,0.8667201,0.49984357,False
21,2,3,3,0.9300364,0.30842084,False
22,2,3,3,0.9039046,0.3873976,False
23,2,3,3,0.8944152,0.4106352,False
24,2,3,3,0.83734477,0.54734415,False
25,2,3,3,0.92349976,0.3231442,False
26,2,3,3,0.8921848,0.41825584,False
27,2,3,3,0.8763313,0.46517584,False
28,2,3,3,0.9034851,0.37962583,False
29,2,3,3,0.91749656,0.35287526,False
30,2,3,3,0.9501837,0.23870686,False
31,2,3,3,0.8737976,0.4700944,False
32,2,3,3,0.90702915,0.3753439,False
33,2,3,3,0.85965824,0.5091848,False
34,2,3,3,0.88579166,0.4462915,False
35,2,3,3,0.91114825,0.36556593,False
36,2,3,3,0.86754125,0.47531202,False
37,2,3,3,0.85183895,0.49406928,False
38,2,3,3,0.8933039,0.42078328,False
39,2,3,3,0.8575962,0.4944632,False
40,3,3,3,0.85120803,0.5070906,False
41,3,3,3,0.87043846,0.46521848,False
42,3,3,3,0.90587467,0.3832853,False
43,3,3,3,0.89152056,0.42421737,False
44,3,3,3,0.89414465,0.41360378,False
45,3,3,3,0.90931785,0.3733894,False
46,3,3,3,0.8662643,0.47656408,False
47,3,3,3,0.88325465,0.43358684,False
48,3,3,3,0.88756114,0.41442332,False
49,3,3,3,0.9004203,0.39444545,False
50,3,3,3,0.8229638,0.5791913,True
51,3,3,3,0.8789834,0.46297008,False
52,3,3,3,0.88872194,0.4341054,False
53,3,3,3,0.84737337,0.5276003,False
54,3,3,3,0.8725552,0.48383617,False
55,3,3,3,0.90247786,0.38324425,False
56,3,3,3,0.82255554,0.58800566,True
57,3,3,3,0.86077917,0.5071451,False
58,3,3,3,0.9153624,0.32960305,False
59,4,3,3,0.8260546,0.57669747,True
60,4,3,3,0.92607176,0.29320315,False
61,4,3,3,0.92821705,0.29591855,False
62,4,3,3,0.9273973,0.320355,False
63,4,3,3,0.86777943,0.46219972,False
64,4,3,3,0.8213808,0.6003294,True
65,4,3,3,0.9162734,0.35468933,False
66,4,3,3,0.87584764,0.4690642,False
67,4,3,3,0.83211297,0.58256024,True
68,4,3,3,0.93987334,0.27332944,False
69,4,3,3,0.88402987,0.44037628,False
70,4,3,3,0.85122097,0.54309195,False
71,4,3,3,0.88710827,0.435306,False
72,4,3,3,0.83381325,0.5787844,True
73,4,3,3,0.9047633,0.3775141,False
74,4,3,3,0.8954094,0.4103213,False
75,4,3,3,0.8432805,0.5495131,False
76,4,3,3,0.8809324,0.4466495,False
77,4,3,3,0.90064067,0.37251902,False
78,4,3,3,0.8978635,0.41142982,False
79,5,3,3,0.84290993,0.54645,False
80,5,3,3,0.788258,0.66812474,True
81,5,3,3,0.84921986,0.5080922,False
82,5,3,3,0.8652485,0.502747,False
83,5,3,3,0.8777835,0.45187402,False
84,5,3,3,0.8225247,0.6107546,True
85,5,3,3,0.8857465,0.42945528,False
86,5,3,3,0.85314244,0.5296396,False
87,5,3,3,0.9198585,0.3363107,False
88,5,3,3,0.8737566,0.43628547,False
89,5,3,3,0.8208699,0.6099834,True
90,5,3,3,0.8336945,0.55658764,False
91,5,3,3,0.8307301,0.568672,True
92,5,3,3,0.84273803,0.5578749,True
93,5,3,3,0.9073339,0.3785196,False
94,5,3,3,0.8442125,0.5444075,False
95,5,3,3,0.82480705,0.6036536,True
96,5,3,3,0.82535446,0.5920972,True
97,5,3,3,0.8500399,0.5308498,False
98,5,3,3,0.7843165,0.6644265,True
99,6,3,3,0.8572973,0.5082993,False
100,6,3,3,0.8046804,0.6174627,True
