File,GT,Pred,Confidence,Uncertainty,RPM,Rejected
109.mat,Bearing,Bearing,0.8790,0.4644,1797,No
122.mat,Bearing,Bearing,0.8631,0.5003,1797,No
97(1).mat,Bearing,Bearing,0.8851,0.4384,1797,No
98.mat,Bearing,Bearing,0.9187,0.3429,1797,No
B007_1_123.mat,Bearing,Bearing,0.8896,0.4394,1797,No
B014_1_190.mat,Bearing,Bearing,0.8571,0.4957,1797,No
B021_1_227.mat,Bearing,Bearing,0.8602,0.5202,1797,No
IR007_1_110.mat,Bearing,Bearing,0.9250,0.3233,1797,No
IR014_1_175.mat,Bearing,Bearing,0.8812,0.4418,1797,No
IR021_1_214.mat,Bearing,Bearing,0.9063,0.3910,1797,No
OR007_6_1_136.mat,Bearing,Bearing,0.9134,0.3615,1797,No
OR014_6_1_202.mat,Bearing,Bearing,0.8978,0.4097,1797,No
OR021_6_1_239.mat,Bearing,Bearing,0.9070,0.3747,1797,No
Time_Normal_1_098.mat,Bearing,Bearing,0.9234,0.3254,1797,No
