sample_id,original_class,mapped_class,mapped_label,prediction,prediction_label,confidence,correct,rejected,estimated_rpm,rpm_confidence
0,1,0,Normal,0,Normal,0.8895214200019836,True,False,1900.0,1.0
1,1,0,Normal,0,Normal,0.995032548904419,True,False,1900.0,1.0
2,1,0,Normal,0,Normal,0.9905561804771423,True,False,1900.0,1.0
3,1,0,Normal,0,Normal,0.9347450733184814,True,False,1900.0,1.0
4,1,0,Normal,0,Normal,0.8791648745536804,True,False,1900.0,1.0
5,1,0,Normal,0,Normal,0.8912400603294373,True,False,1900.0,1.0
6,1,0,Normal,0,Normal,0.9952473044395447,True,False,1900.0,1.0
7,1,0,Normal,0,Normal,0.9032561779022217,True,False,1900.0,1.0
8,1,0,Normal,0,Normal,0.9966784715652466,True,False,1900.0,1.0
9,1,0,Normal,0,Normal,0.9932675361633301,True,False,1900.0,1.0
10,1,0,Normal,0,Normal,0.9478170275688171,True,False,1900.0,1.0
11,1,0,Normal,0,Normal,0.9687551856040955,True,False,1900.0,1.0
12,1,0,Normal,0,Normal,0.9925170540809631,True,False,1900.0,1.0
13,1,0,Normal,0,Normal,0.995941698551178,True,False,1900.0,1.0
14,1,0,Normal,0,Normal,0.9322352409362793,True,False,1900.0,1.0
15,1,0,Normal,0,Normal,0.906120777130127,True,False,1900.0,1.0
16,1,0,Normal,0,Normal,0.9831398129463196,True,False,1900.0,1.0
17,1,0,Normal,0,Normal,0.892459511756897,True,False,1900.0,1.0
18,1,0,Normal,0,Normal,0.9556592702865601,True,False,1900.0,1.0
19,1,0,Normal,0,Normal,0.7878574132919312,True,False,1900.0,1.0
20,2,3,Bearing,0,Normal,0.8178936243057251,False,False,1900.0,1.0
21,2,3,Bearing,0,Normal,0.989899218082428,False,False,1900.0,1.0
22,2,3,Bearing,0,Normal,0.9709208011627197,False,False,1900.0,1.0
23,2,3,Bearing,0,Normal,0.7464216947555542,False,False,1900.0,1.0
24,2,3,Bearing,0,Normal,0.9892337322235107,False,False,1900.0,1.0
25,2,3,Bearing,0,Normal,0.8605951070785522,False,False,1900.0,1.0
26,2,3,Bearing,0,Normal,0.9172267317771912,False,False,1900.0,1.0
27,2,3,Bearing,0,Normal,0.9237399101257324,False,False,1900.0,1.0
28,2,3,Bearing,-1,REJECTED,0.6764819622039795,False,True,1900.0,1.0
29,2,3,Bearing,0,Normal,0.9772276282310486,False,False,1900.0,1.0
30,2,3,Bearing,0,Normal,0.962753176689148,False,False,1900.0,1.0
31,2,3,Bearing,0,Normal,0.9949200749397278,False,False,1900.0,1.0
32,2,3,Bearing,0,Normal,0.8436840772628784,False,False,1900.0,1.0
33,2,3,Bearing,0,Normal,0.9607744216918945,False,False,1900.0,1.0
34,2,3,Bearing,0,Normal,0.9815315008163452,False,False,1900.0,1.0
35,2,3,Bearing,0,Normal,0.9288992881774902,False,False,1900.0,1.0
36,2,3,Bearing,0,Normal,0.9780275821685791,False,False,1900.0,1.0
37,2,3,Bearing,0,Normal,0.9691979885101318,False,False,1900.0,1.0
38,2,3,Bearing,0,Normal,0.9834377765655518,False,False,1900.0,1.0
39,2,3,Bearing,0,Normal,0.949365496635437,False,False,1900.0,1.0
40,3,3,Bearing,0,Normal,0.978691577911377,False,False,1900.0,1.0
41,3,3,Bearing,0,Normal,0.7721949815750122,False,False,1900.0,1.0
42,3,3,Bearing,0,Normal,0.9916071891784668,False,False,1900.0,1.0
43,3,3,Bearing,0,Normal,0.9660266041755676,False,False,1900.0,1.0
44,3,3,Bearing,0,Normal,0.9571021795272827,False,False,1900.0,1.0
45,3,3,Bearing,0,Normal,0.9737192392349243,False,False,1900.0,1.0
46,3,3,Bearing,0,Normal,0.9684803485870361,False,False,1900.0,1.0
47,3,3,Bearing,0,Normal,0.9852898716926575,False,False,1900.0,1.0
48,3,3,Bearing,0,Normal,0.9832267165184021,False,False,1900.0,1.0
49,3,3,Bearing,0,Normal,0.9839888215065002,False,False,1900.0,1.0
50,3,3,Bearing,0,Normal,0.9442806839942932,False,False,1900.0,1.0
51,3,3,Bearing,0,Normal,0.9950608611106873,False,False,1900.0,1.0
