Filename,Ground_Truth,Prediction,Confidence,Avg_RPM
0D.csv,Normal,Imbalance,0.9218,780.8
0D.csv,Normal,Imbalance,0.8620,780.8
0D.csv,Normal,Bearing,0.7525,780.8
0D.csv,Normal,Imbalance,0.9722,780.8
0D.csv,Normal,Imbalance,0.9709,770.8
0D.csv,Normal,Imbalance,0.8748,770.8
0D.csv,Normal,Imbalance,0.9937,770.8
0D.csv,Normal,Imbalance,0.9623,770.8
0D.csv,Normal,Imbalance,0.9844,769.7
0D.csv,Normal,Imbalance,0.9835,769.7
0D.csv,Normal,Imbalance,0.9915,769.7
0D.csv,Normal,Imbalance,0.9837,769.7
0D.csv,Normal,Imbalance,0.7058,786.3
0D.csv,Normal,Imbalance,0.9898,786.3
0D.csv,Normal,Imbalance,0.5551,786.3
0D.csv,Normal,Imbalance,0.8775,786.3
0D.csv,Normal,Bearing,0.5835,795.0
0D.csv,Normal,Imbalance,0.9785,795.0
0D.csv,Normal,Imbalance,0.7996,795.0
0D.csv,Normal,Imbalance,0.7987,795.0
0D.csv,Normal,Imbalance,0.6361,796.6
0D.csv,Normal,Imbalance,0.7464,796.6
0D.csv,Normal,Imbalance,0.5374,796.6
0D.csv,Normal,Imbalance,0.8763,796.6
0D.csv,Normal,Bearing,0.5133,778.8
0D.csv,Normal,Imbalance,0.8514,778.8
0D.csv,Normal,Imbalance,0.7537,778.8
0D.csv,Normal,Imbalance,0.9587,778.8
0D.csv,Normal,Imbalance,0.8983,792.3
0D.csv,Normal,Bearing,0.8284,792.3
0D.csv,Normal,Imbalance,0.9642,792.3
0D.csv,Normal,Imbalance,0.8418,792.3
0D.csv,Normal,Imbalance,0.9595,797.6
0D.csv,Normal,Imbalance,0.5922,797.6
0D.csv,Normal,Bearing,0.6352,797.6
0D.csv,Normal,Imbalance,0.8821,797.6
0D.csv,Normal,Imbalance,0.8873,792.3
0D.csv,Normal,Imbalance,0.9276,792.3
0D.csv,Normal,Bearing,0.9149,792.3
0D.csv,Normal,Bearing,0.9226,792.3
0D.csv,Normal,Imbalance,0.7959,789.3
0D.csv,Normal,Bearing,0.9028,789.3
0D.csv,Normal,Imbalance,0.8993,789.3
0D.csv,Normal,Imbalance,0.6953,789.3
0D.csv,Normal,Bearing,0.5548,799.8
0D.csv,Normal,Bearing,0.7102,799.8
0D.csv,Normal,Bearing,0.9318,799.8
0D.csv,Normal,Imbalance,0.8464,799.8
0D.csv,Normal,Imbalance,0.9335,807.6
0D.csv,Normal,Bearing,0.7335,807.6
0D.csv,Normal,Imbalance,0.9482,807.6
0D.csv,Normal,Bearing,0.7165,807.6
0D.csv,Normal,Bearing,0.9877,802.7
0D.csv,Normal,Bearing,0.9569,802.7
0D.csv,Normal,Bearing,0.9255,802.7
0D.csv,Normal,Bearing,0.5988,802.7
0D.csv,Normal,Bearing,0.6234,812.2
0D.csv,Normal,Imbalance,0.9284,812.2
0D.csv,Normal,Imbalance,0.8945,812.2
0D.csv,Normal,Imbalance,0.7407,812.2
0D.csv,Normal,Imbalance,0.8354,810.6
0D.csv,Normal,Bearing,0.5350,810.6
0D.csv,Normal,Imbalance,0.8883,810.6
0D.csv,Normal,Bearing,0.6733,810.6
