Filename,Ground_Truth,Prediction,Confidence,Avg_RPM
0D.csv,Normal,Normal,0.7763,780.8
0D.csv,Normal,Normal,0.6342,780.8
0D.csv,Normal,Normal,0.8815,780.8
0D.csv,Normal,Normal,0.6632,780.8
0D.csv,Normal,Imbalance,0.6000,770.8
0D.csv,Normal,Normal,0.6992,770.8
0D.csv,Normal,Imbalance,0.6777,770.8
0D.csv,Normal,Normal,0.6434,770.8
0D.csv,Normal,Normal,0.5391,769.7
0D.csv,Normal,Imbalance,0.5343,769.7
0D.csv,Normal,Imbalance,0.6622,769.7
0D.csv,Normal,Normal,0.5679,769.7
0D.csv,Normal,Normal,0.7329,786.3
0D.csv,Normal,Imbalance,0.5555,786.3
0D.csv,Normal,Normal,0.6848,786.3
0D.csv,Normal,Normal,0.6649,786.3
0D.csv,Normal,Normal,0.8912,795.0
0D.csv,Normal,Imbalance,0.5688,795.0
0D.csv,Normal,Normal,0.7986,795.0
0D.csv,Normal,Normal,0.9124,795.0
0D.csv,Normal,Normal,0.9102,796.6
0D.csv,Normal,Normal,0.7959,796.6
0D.csv,Normal,Normal,0.8839,796.6
0D.csv,Normal,Normal,0.6530,796.6
0D.csv,Normal,Normal,0.7549,778.8
0D.csv,Normal,Normal,0.7074,778.8
0D.csv,Normal,Normal,0.8189,778.8
0D.csv,Normal,Normal,0.7925,778.8
0D.csv,Normal,Normal,0.8293,792.3
0D.csv,Normal,Normal,0.9486,792.3
0D.csv,Normal,Normal,0.5963,792.3
0D.csv,Normal,Normal,0.5859,792.3
0D.csv,Normal,Normal,0.5187,797.6
0D.csv,Normal,Normal,0.6851,797.6
0D.csv,Normal,Normal,0.8647,797.6
0D.csv,Normal,Normal,0.6508,797.6
0D.csv,Normal,Normal,0.6374,792.3
0D.csv,Normal,Normal,0.7311,792.3
0D.csv,Normal,Normal,0.8124,792.3
0D.csv,Normal,Normal,0.8807,792.3
0D.csv,Normal,Normal,0.6180,789.3
0D.csv,Normal,Normal,0.7055,789.3
0D.csv,Normal,Normal,0.7913,789.3
0D.csv,Normal,Normal,0.6663,789.3
0D.csv,Normal,Normal,0.8043,799.8
0D.csv,Normal,Normal,0.8043,799.8
0D.csv,Normal,Normal,0.8073,799.8
0D.csv,Normal,Imbalance,0.6602,799.8
0D.csv,Normal,Normal,0.6255,807.6
