sample_id,original_class,mapped_class,mapped_label,prediction,prediction_label,confidence,correct
0,1,0,Normal,2,Misalignment,0.5202990174293518,False
1,1,0,Normal,1,Imbalance,0.7571620941162109,False
2,1,0,Normal,3,Bearing,0.9991241097450256,False
3,1,0,Normal,2,Misalignment,0.8768221139907837,False
4,1,0,Normal,3,Bearing,0.9083951115608215,False
5,1,0,Normal,2,Misalignment,0.6329335570335388,False
6,1,0,Normal,2,Misalignment,0.9212976694107056,False
7,1,0,Normal,3,Bearing,0.9699804186820984,False
8,1,0,Normal,2,Misalignment,0.7834776043891907,False
9,1,0,Normal,3,Bearing,0.7757429480552673,False
10,1,0,Normal,2,Misalignment,0.9423839449882507,False
11,1,0,Normal,3,Bearing,0.992310643196106,False
12,1,0,Normal,3,Bearing,0.7789221405982971,False
13,1,0,Normal,3,Bearing,0.6473738551139832,False
14,1,0,Normal,3,Bearing,0.9209181070327759,False
15,1,0,Normal,2,Misalignment,0.8618884682655334,False
16,1,0,Normal,3,Bearing,0.576904833316803,False
17,1,0,Normal,2,Misalignment,0.9989533424377441,False
18,1,0,Normal,3,Bearing,0.6184074282646179,False
19,1,0,Normal,2,Misalignment,0.9922311902046204,False
20,2,3,Bearing,3,Bearing,0.988860011100769,True
21,2,3,Bearing,3,Bearing,0.9977908134460449,True
22,2,3,Bearing,3,Bearing,0.9237070083618164,True
23,2,3,Bearing,3,Bearing,0.9995079040527344,True
24,2,3,Bearing,2,Misalignment,0.9821987748146057,False
25,2,3,Bearing,2,Misalignment,0.9994391798973083,False
26,2,3,Bearing,2,Misalignment,0.9412679076194763,False
27,2,3,Bearing,3,Bearing,0.9071735143661499,True
28,2,3,Bearing,3,Bearing,0.6524637341499329,True
29,2,3,Bearing,2,Misalignment,0.9991294741630554,False
30,2,3,Bearing,3,Bearing,0.9964216947555542,True
31,2,3,Bearing,3,Bearing,0.8913047313690186,True
32,2,3,Bearing,3,Bearing,0.8408017158508301,True
33,2,3,Bearing,3,Bearing,0.9999629259109497,True
34,2,3,Bearing,3,Bearing,0.9360495209693909,True
35,2,3,Bearing,3,Bearing,0.9506925940513611,True
36,2,3,Bearing,3,Bearing,0.5546039342880249,True
37,2,3,Bearing,2,Misalignment,0.9363588690757751,False
38,2,3,Bearing,3,Bearing,0.5740213394165039,True
39,2,3,Bearing,3,Bearing,0.7643256783485413,True
