sample_id,original_class,mapped_class,mapped_label,prediction,prediction_label,confidence,correct,rejected,estimated_rpm,rpm_confidence
0,1,0,Normal,3,Bearing,0.999998,False,False,1500.0,0.0
1,1,0,Normal,3,Bearing,0.9999981,False,False,1500.0,0.0
2,1,0,Normal,3,Bearing,0.9981481,False,False,1500.0,0.0
3,1,0,Normal,3,Bearing,0.99988425,False,False,1500.0,0.0
4,1,0,Normal,3,Bearing,0.9998307,False,False,1500.0,0.0
5,1,0,Normal,3,Bearing,0.9999362,False,False,1500.0,0.0
6,1,0,Normal,3,Bearing,0.9998534,False,False,1500.0,0.0
7,1,0,Normal,3,Bearing,0.9992449,False,False,1500.0,0.0
8,1,0,Normal,3,Bearing,0.9999958,False,False,1500.0,0.0
9,1,0,Normal,3,Bearing,0.99945635,False,False,1500.0,0.0
10,1,0,Normal,3,Bearing,0.99830353,False,False,1500.0,0.0
11,1,0,Normal,3,Bearing,0.9990282,False,False,1500.0,0.0
12,1,0,Normal,3,Bearing,0.9999969,False,False,1500.0,0.0
13,1,0,Normal,3,Bearing,0.9999925,False,False,1500.0,0.0
14,1,0,Normal,3,Bearing,0.99785405,False,False,1500.0,0.0
15,1,0,Normal,3,Bearing,0.99506444,False,False,1500.0,0.0
16,1,0,Normal,3,Bearing,0.99993336,False,False,1500.0,0.0
17,1,0,Normal,3,Bearing,0.9999908,False,False,1500.0,0.0
18,1,0,Normal,3,Bearing,0.99998057,False,False,1500.0,0.0
19,1,0,Normal,3,Bearing,0.999974,False,False,1500.0,0.0
20,2,3,Bearing,3,Bearing,0.9986551,True,False,1500.0,0.0
21,2,3,Bearing,3,Bearing,0.99981207,True,False,1500.0,0.0
22,2,3,Bearing,3,Bearing,0.9961972,True,False,1500.0,0.0
23,2,3,Bearing,3,Bearing,0.9999715,True,False,1500.0,0.0
24,2,3,Bearing,3,Bearing,0.9997235,True,False,1500.0,0.0
25,2,3,Bearing,3,Bearing,0.998502,True,False,1500.0,0.0
26,2,3,Bearing,3,Bearing,0.99992204,True,False,1500.0,0.0
27,2,3,Bearing,3,Bearing,0.96706355,True,False,1500.0,0.0
28,2,3,Bearing,2,Misalignment,0.8869731,False,False,1500.0,0.0
29,2,3,Bearing,3,Bearing,0.9996909,True,False,1500.0,0.0
30,2,3,Bearing,3,Bearing,0.9167583,True,False,1500.0,0.0
31,2,3,Bearing,3,Bearing,0.9999541,True,False,1500.0,0.0
32,2,3,Bearing,3,Bearing,0.99992764,True,False,1500.0,0.0
33,2,3,Bearing,3,Bearing,0.99421495,True,False,1500.0,0.0
34,2,3,Bearing,3,Bearing,0.9998994,True,False,1500.0,0.0
35,2,3,Bearing,3,Bearing,0.9878528,True,False,1500.0,0.0
36,2,3,Bearing,3,Bearing,0.97735995,True,False,1500.0,0.0
