path,original_path,label,label_name,rpm
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\12.288.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\12.288.csv,2,Misalignment,716.5788823798515
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\13.5168.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\13.5168.csv,2,Misalignment,796.1133338776843
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\14.5408.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\14.5408.csv,2,Misalignment,851.2535722248119
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\15.36.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\15.36.csv,2,Misalignment,902.0576666775023
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\16.384.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\16.384.csv,2,Misalignment,962.5850892726594
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\17.408.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\17.408.csv,2,Misalignment,1015.5229943420861
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\18.8416.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\18.8416.csv,2,Misalignment,1103.7259848631866
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\19.6608.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\19.6608.csv,2,Misalignment,1148.2598976338518
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\20.48.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\20.48.csv,2,Misalignment,1197.1751503523
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\21.504.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\21.504.csv,2,Misalignment,1264.3392121761888
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\22.528.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\22.528.csv,2,Misalignment,1317.5814523212803
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\23.552.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\23.552.csv,2,Misalignment,1379.7165529678025
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\24.3712.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\24.3712.csv,2,Misalignment,1428.611784836537
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\24.7808.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\24.7808.csv,2,Misalignment,1457.5665925736982
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\25.8048.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\25.8048.csv,2,Misalignment,1513.0546353941809
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\26.8288.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\26.8288.csv,2,Misalignment,1576.8661604521967
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\28.672.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\28.672.csv,2,Misalignment,1682.8878355257623
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\29.2864.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\29.2864.csv,2,Misalignment,1720.9356434253439
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\30.3104.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\30.3104.csv,2,Misalignment,1779.4743085874768
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\31.5392.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\31.5392.csv,2,Misalignment,1853.902826599894
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\32.3584.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\32.3584.csv,2,Misalignment,1894.5297477603663
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\33.1776.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\33.1776.csv,2,Misalignment,1945.078709240936
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\34.2016.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\34.2016.csv,2,Misalignment,1999.221186927181
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\35.2256.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\35.2256.csv,2,Misalignment,2065.7329929370453
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\36.6592.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\36.6592.csv,2,Misalignment,2144.543862749193
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\37.888.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\37.888.csv,2,Misalignment,2216.929793207038
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\38.5024.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\38.5024.csv,2,Misalignment,2261.5769762594887
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\39.1168.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\39.1168.csv,2,Misalignment,2295.573168374251
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\40.3456.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\40.3456.csv,2,Misalignment,2369.5536534648677
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\41.984.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\41.984.csv,2,Misalignment,2457.56484236649
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\42.5984.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\42.5984.csv,2,Misalignment,2496.1913987916987
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\43.008.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\43.008.csv,2,Misalignment,2516.475489448462
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\44.2368.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\44.2368.csv,2,Misalignment,2594.4771826793512
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\44.8512.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\44.8512.csv,2,Misalignment,2630.24540913588
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\46.8992.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\46.8992.csv,2,Misalignment,2743.4182028204264
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\47.7184.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\47.7184.csv,2,Misalignment,2790.675295306373
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\48.3328.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\48.3328.csv,2,Misalignment,2829.8137942384187
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\49.5616.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\49.5616.csv,2,Misalignment,2905.0611549526675
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\50.176.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\50.176.csv,2,Misalignment,2935.7503810058556
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\51.4048.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\51.4048.csv,2,Misalignment,3017.537930451786
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\52.224.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\52.224.csv,2,Misalignment,3057.196045705482
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\53.248.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\53.248.csv,2,Misalignment,3114.963900224567
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\54.4768.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\54.4768.csv,2,Misalignment,3191.3221825097817
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\55.0912.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\55.0912.csv,2,Misalignment,3232.2018624211473
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\56.1152.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\56.1152.csv,2,Misalignment,3292.819723145829
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\57.344.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\57.344.csv,2,Misalignment,3361.999365357348
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\58.1632.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\58.1632.csv,2,Misalignment,3412.31084584313
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\59.8016.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\59.8016.csv,2,Misalignment,3503.2524468593124
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\60.6208.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\60.6208.csv,2,Misalignment,3547.0975733348346
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\62.0544.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\62.0544.csv,2,Misalignment,3635.4589666629213
4k_mafulda_structured_v3\horizontal-misalignment\1.0mm\12.288.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\1.0mm\12.288.csv,2,Misalignment,721.1097757226377
4k_mafulda_structured_v3\horizontal-misalignment\1.0mm\13.7216.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\1.0mm\13.7216.csv,2,Misalignment,800.1707030833245
4k_mafulda_structured_v3\horizontal-misalignment\1.0mm\14.336.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\1.0mm\14.336.csv,2,Misalignment,834.9090194730252
4k_mafulda_structured_v3\horizontal-misalignment\1.0mm\15.9744.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\1.0mm\15.9744.csv,2,Misalignment,930.9448485703348
4k_mafulda_structured_v3\horizontal-misalignment\1.0mm\16.5888.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\1.0mm\16.5888.csv,2,Misalignment,966.4286836033293
4k_mafulda_structured_v3\horizontal-misalignment\1.0mm\17.8176.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\1.0mm\17.8176.csv,2,Misalignment,1039.2121321974503
4k_mafulda_structured_v3\horizontal-misalignment\1.0mm\18.8416.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\1.0mm\18.8416.csv,2,Misalignment,1106.5803020599417
4k_mafulda_structured_v3\horizontal-misalignment\1.0mm\19.6608.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\1.0mm\19.6608.csv,2,Misalignment,1147.2968076969526
4k_mafulda_structured_v3\horizontal-misalignment\1.0mm\20.2752.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\1.0mm\20.2752.csv,2,Misalignment,1185.4695306105168
4k_mafulda_structured_v3\horizontal-misalignment\1.0mm\21.504.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\1.0mm\21.504.csv,2,Misalignment,1263.4852755369814
4k_mafulda_structured_v3\horizontal-misalignment\1.0mm\22.528.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\1.0mm\22.528.csv,2,Misalignment,1318.277289750898
