path,original_path,label
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\12.288_slice_0.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\12.288.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\12.288_slice_1.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\12.288.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\12.288_slice_2.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\12.288.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\12.288_slice_3.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\12.288.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\12.288_slice_4.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\12.288.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\12.288_slice_5.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\12.288.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\12.288_slice_6.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\12.288.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\12.288_slice_7.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\12.288.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\13.5168_slice_0.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\13.5168.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\13.5168_slice_1.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\13.5168.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\13.5168_slice_2.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\13.5168.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\13.5168_slice_3.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\13.5168.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\13.5168_slice_4.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\13.5168.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\13.5168_slice_5.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\13.5168.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\13.5168_slice_6.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\13.5168.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\13.5168_slice_7.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\13.5168.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\14.5408_slice_0.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\14.5408.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\14.5408_slice_1.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\14.5408.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\14.5408_slice_2.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\14.5408.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\14.5408_slice_3.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\14.5408.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\14.5408_slice_4.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\14.5408.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\14.5408_slice_5.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\14.5408.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\14.5408_slice_6.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\14.5408.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\14.5408_slice_7.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\14.5408.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\15.36_slice_0.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\15.36.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\15.36_slice_1.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\15.36.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\15.36_slice_2.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\15.36.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\15.36_slice_3.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\15.36.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\15.36_slice_4.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\15.36.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\15.36_slice_5.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\15.36.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\15.36_slice_6.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\15.36.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\15.36_slice_7.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\15.36.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\16.384_slice_0.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\16.384.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\16.384_slice_1.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\16.384.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\16.384_slice_2.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\16.384.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\16.384_slice_3.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\16.384.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\16.384_slice_4.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\16.384.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\16.384_slice_5.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\16.384.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\16.384_slice_6.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\16.384.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\16.384_slice_7.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\16.384.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\17.408_slice_0.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\17.408.csv,2
