Sample_ID,Original_Class,GT_Physics,Pred_Class,Confidence,Uncertainty,Correct,Rejected,Signal_Duration_sec
0,1,Bearing_Healthy,Bearing,0.6109,1.0593,Yes,Yes,0.200
1,1,Bearing_Healthy,Bearing,0.6585,0.9631,Yes,Yes,0.200
2,1,Bearing_Healthy,Bearing,0.6354,1.0148,Yes,Yes,0.200
3,1,Bearing_Healthy,Bearing,0.6852,0.9336,Yes,Yes,0.200
4,1,Bearing_Healthy,Bearing,0.6528,0.9770,Yes,Yes,0.200
5,1,Bearing_Healthy,Bearing,0.6136,1.0539,Yes,Yes,0.200
6,1,Bearing_Healthy,Bearing,0.6853,0.9372,Yes,Yes,0.200
7,1,Bearing_Healthy,Bearing,0.6354,1.0123,Yes,Yes,0.200
8,1,Bearing_Healthy,Bearing,0.7324,0.8482,Yes,Yes,0.200
9,1,Bearing_Healthy,Bearing,0.7130,0.8768,Yes,Yes,0.200
10,1,Bearing_Healthy,Bearing,0.6269,1.0239,Yes,Yes,0.200
11,1,Bearing_Healthy,Bearing,0.6828,0.9236,Yes,Yes,0.200
12,1,Bearing_Healthy,Bearing,0.6106,1.0478,Yes,Yes,0.200
13,1,Bearing_Healthy,Bearing,0.6364,1.0165,Yes,Yes,0.200
14,1,Bearing_Healthy,Bearing,0.6383,1.0121,Yes,Yes,0.200
15,1,Bearing_Healthy,Bearing,0.6703,0.9469,Yes,Yes,0.200
16,1,Bearing_Healthy,Bearing,0.6895,0.9137,Yes,Yes,0.200
17,1,Bearing_Healthy,Bearing,0.7043,0.9012,Yes,Yes,0.200
18,1,Bearing_Healthy,Bearing,0.6588,0.9717,Yes,Yes,0.200
19,1,Bearing_Healthy,Bearing,0.6612,0.9627,Yes,Yes,0.200
20,2,Bearing_Faulty,Bearing,0.7079,0.8927,Yes,Yes,0.200
21,2,Bearing_Faulty,Bearing,0.6530,0.9922,Yes,Yes,0.200
22,2,Bearing_Faulty,Bearing,0.6389,1.0103,Yes,Yes,0.200
23,2,Bearing_Faulty,Bearing,0.6950,0.9108,Yes,Yes,0.200
24,2,Bearing_Faulty,Bearing,0.6011,1.0540,Yes,Yes,0.200
25,2,Bearing_Faulty,Bearing,0.7032,0.8982,Yes,Yes,0.200
26,2,Bearing_Faulty,Bearing,0.6825,0.9352,Yes,Yes,0.200
27,2,Bearing_Faulty,Bearing,0.6625,0.9745,Yes,Yes,0.200
28,2,Bearing_Faulty,Bearing,0.6437,0.9965,Yes,Yes,0.200
29,2,Bearing_Faulty,Bearing,0.6645,0.9529,Yes,Yes,0.200
30,2,Bearing_Faulty,Bearing,0.7183,0.8680,Yes,Yes,0.200
31,2,Bearing_Faulty,Bearing,0.6424,1.0010,Yes,Yes,0.200
32,2,Bearing_Faulty,Bearing,0.6794,0.9337,Yes,Yes,0.200
33,2,Bearing_Faulty,Bearing,0.6735,0.9441,Yes,Yes,0.200
34,2,Bearing_Faulty,Bearing,0.6703,0.9602,Yes,Yes,0.200
35,2,Bearing_Faulty,Bearing,0.6836,0.9341,Yes,Yes,0.200
36,2,Bearing_Faulty,Bearing,0.6515,0.9797,Yes,Yes,0.200
37,2,Bearing_Faulty,Bearing,0.6522,0.9781,Yes,Yes,0.200
38,2,Bearing_Faulty,Bearing,0.6459,0.9915,Yes,Yes,0.200
39,2,Bearing_Faulty,Bearing,0.6642,0.9658,Yes,Yes,0.200
40,3,Bearing_Faulty,Bearing,0.6156,1.0424,Yes,Yes,0.200
41,3,Bearing_Faulty,Bearing,0.6491,0.9974,Yes,Yes,0.200
42,3,Bearing_Faulty,Bearing,0.7151,0.8762,Yes,Yes,0.200
43,3,Bearing_Faulty,Bearing,0.6231,1.0389,Yes,Yes,0.200
44,3,Bearing_Faulty,Bearing,0.6898,0.9368,Yes,Yes,0.200
45,3,Bearing_Faulty,Bearing,0.6208,1.0311,Yes,Yes,0.200
46,3,Bearing_Faulty,Bearing,0.6987,0.8962,Yes,Yes,0.200
47,3,Bearing_Faulty,Bearing,0.6569,0.9811,Yes,Yes,0.200
48,3,Bearing_Faulty,Bearing,0.6451,1.0006,Yes,Yes,0.200
49,3,Bearing_Faulty,Bearing,0.6295,1.0151,Yes,Yes,0.200
50,3,Bearing_Faulty,Bearing,0.5970,1.0634,Yes,Yes,0.200
51,3,Bearing_Faulty,Bearing,0.6676,0.9561,Yes,Yes,0.200
52,3,Bearing_Faulty,Bearing,0.6389,1.0046,Yes,Yes,0.200
53,3,Bearing_Faulty,Bearing,0.5935,1.0702,Yes,Yes,0.200
54,3,Bearing_Faulty,Bearing,0.6270,1.0286,Yes,Yes,0.200
55,3,Bearing_Faulty,Bearing,0.6638,0.9763,Yes,Yes,0.200
56,3,Bearing_Faulty,Bearing,0.6799,0.9462,Yes,Yes,0.200
57,3,Bearing_Faulty,Bearing,0.5651,1.1170,Yes,Yes,0.200
58,3,Bearing_Faulty,Bearing,0.6649,0.9651,Yes,Yes,0.200
59,4,Bearing_Faulty,Bearing,0.6323,1.0205,Yes,Yes,0.200
60,4,Bearing_Faulty,Bearing,0.7161,0.8735,Yes,Yes,0.200
61,4,Bearing_Faulty,Bearing,0.7052,0.8959,Yes,Yes,0.200
62,4,Bearing_Faulty,Bearing,0.7716,0.7654,Yes,Yes,0.200
63,4,Bearing_Faulty,Bearing,0.6461,0.9981,Yes,Yes,0.200
64,4,Bearing_Faulty,Bearing,0.6209,1.0426,Yes,Yes,0.200
65,4,Bearing_Faulty,Bearing,0.6607,0.9701,Yes,Yes,0.200
66,4,Bearing_Faulty,Bearing,0.6472,0.9933,Yes,Yes,0.200
67,4,Bearing_Faulty,Bearing,0.6000,1.0704,Yes,Yes,0.200
68,4,Bearing_Faulty,Bearing,0.6825,0.9449,Yes,Yes,0.200
69,4,Bearing_Faulty,Bearing,0.6308,1.0192,Yes,Yes,0.200
70,4,Bearing_Faulty,Bearing,0.6270,1.0205,Yes,Yes,0.200
71,4,Bearing_Faulty,Bearing,0.6393,1.0030,Yes,Yes,0.200
72,4,Bearing_Faulty,Bearing,0.6529,0.9836,Yes,Yes,0.200
73,4,Bearing_Faulty,Bearing,0.6737,0.9533,Yes,Yes,0.200
74,4,Bearing_Faulty,Bearing,0.6531,0.9933,Yes,Yes,0.200
75,4,Bearing_Faulty,Bearing,0.6035,1.0626,Yes,Yes,0.200
76,4,Bearing_Faulty,Bearing,0.6499,0.9799,Yes,Yes,0.200
77,4,Bearing_Faulty,Bearing,0.6364,1.0037,Yes,Yes,0.200
78,4,Bearing_Faulty,Bearing,0.6042,1.0629,Yes,Yes,0.200
79,5,Bearing_Faulty,Bearing,0.6126,1.0526,Yes,Yes,0.200
80,5,Bearing_Faulty,Bearing,0.5847,1.0870,Yes,Yes,0.200
81,5,Bearing_Faulty,Bearing,0.6298,1.0281,Yes,Yes,0.200
82,5,Bearing_Faulty,Bearing,0.6079,1.0526,Yes,Yes,0.200
83,5,Bearing_Faulty,Bearing,0.5877,1.0866,Yes,Yes,0.200
84,5,Bearing_Faulty,Bearing,0.6359,1.0098,Yes,Yes,0.200
85,5,Bearing_Faulty,Bearing,0.5647,1.1072,Yes,Yes,0.200
86,5,Bearing_Faulty,Bearing,0.6477,0.9847,Yes,Yes,0.200
87,5,Bearing_Faulty,Bearing,0.7213,0.8678,Yes,Yes,0.200
88,5,Bearing_Faulty,Bearing,0.6503,0.9882,Yes,Yes,0.200
89,5,Bearing_Faulty,Bearing,0.6145,1.0443,Yes,Yes,0.200
90,5,Bearing_Faulty,Bearing,0.6517,0.9868,Yes,Yes,0.200
91,5,Bearing_Faulty,Bearing,0.6005,1.0648,Yes,Yes,0.200
92,5,Bearing_Faulty,Bearing,0.5840,1.0721,Yes,Yes,0.200
93,5,Bearing_Faulty,Bearing,0.6656,0.9667,Yes,Yes,0.200
94,5,Bearing_Faulty,Bearing,0.5944,1.0673,Yes,Yes,0.200
95,5,Bearing_Faulty,Bearing,0.5976,1.0682,Yes,Yes,0.200
96,5,Bearing_Faulty,Bearing,0.6467,1.0019,Yes,Yes,0.200
97,5,Bearing_Faulty,Bearing,0.5888,1.0767,Yes,Yes,0.200
98,5,Bearing_Faulty,Bearing,0.6478,0.9973,Yes,Yes,0.200
99,6,Bearing_Faulty,Bearing,0.6355,1.0159,Yes,Yes,0.200
100,6,Bearing_Faulty,Bearing,0.6307,1.0230,Yes,Yes,0.200
101,6,Bearing_Faulty,Bearing,0.5894,1.0864,Yes,Yes,0.200
102,6,Bearing_Faulty,Bearing,0.6239,1.0275,Yes,Yes,0.200
103,6,Bearing_Faulty,Bearing,0.6492,0.9985,Yes,Yes,0.200
104,6,Bearing_Faulty,Bearing,0.6027,1.0703,Yes,Yes,0.200
105,6,Bearing_Faulty,Bearing,0.6155,1.0444,Yes,Yes,0.200
106,6,Bearing_Faulty,Bearing,0.6405,1.0052,Yes,Yes,0.200
107,6,Bearing_Faulty,Bearing,0.6518,0.9793,Yes,Yes,0.200
108,6,Bearing_Faulty,Bearing,0.6140,1.0544,Yes,Yes,0.200
109,6,Bearing_Faulty,Bearing,0.5904,1.0809,Yes,Yes,0.200
110,6,Bearing_Faulty,Bearing,0.6636,0.9762,Yes,Yes,0.200
111,6,Bearing_Faulty,Bearing,0.6967,0.9032,Yes,Yes,0.200
112,6,Bearing_Faulty,Bearing,0.6110,1.0501,Yes,Yes,0.200
113,6,Bearing_Faulty,Bearing,0.6299,1.0218,Yes,Yes,0.200
114,6,Bearing_Faulty,Bearing,0.5788,1.0871,Yes,Yes,0.200
115,6,Bearing_Faulty,Bearing,0.6066,1.0569,Yes,Yes,0.200
116,6,Bearing_Faulty,Bearing,0.6812,0.9370,Yes,Yes,0.200
117,6,Bearing_Faulty,Bearing,0.6306,1.0097,Yes,Yes,0.200
118,7,Bearing_Faulty,Bearing,0.5995,1.0636,Yes,Yes,0.200
119,7,Bearing_Faulty,Bearing,0.6722,0.9493,Yes,Yes,0.200
120,7,Bearing_Faulty,Bearing,0.7055,0.8903,Yes,Yes,0.200
121,7,Bearing_Faulty,Bearing,0.6052,1.0636,Yes,Yes,0.200
122,7,Bearing_Faulty,Bearing,0.6192,1.0425,Yes,Yes,0.200
123,7,Bearing_Faulty,Bearing,0.6431,0.9919,Yes,Yes,0.200
124,7,Bearing_Faulty,Bearing,0.7007,0.9021,Yes,Yes,0.200
125,7,Bearing_Faulty,Bearing,0.6463,0.9995,Yes,Yes,0.200
126,7,Bearing_Faulty,Bearing,0.6383,1.0066,Yes,Yes,0.200
127,7,Bearing_Faulty,Bearing,0.6274,1.0178,Yes,Yes,0.200
128,7,Bearing_Faulty,Bearing,0.6630,0.9767,Yes,Yes,0.200
129,7,Bearing_Faulty,Bearing,0.6691,0.9588,Yes,Yes,0.200
130,7,Bearing_Faulty,Bearing,0.6894,0.9213,Yes,Yes,0.200
131,7,Bearing_Faulty,Bearing,0.6677,0.9593,Yes,Yes,0.200
132,7,Bearing_Faulty,Bearing,0.6971,0.9069,Yes,Yes,0.200
133,7,Bearing_Faulty,Bearing,0.6287,1.0301,Yes,Yes,0.200
134,7,Bearing_Faulty,Bearing,0.6545,0.9666,Yes,Yes,0.200
135,7,Bearing_Faulty,Bearing,0.6426,1.0025,Yes,Yes,0.200
136,7,Bearing_Faulty,Bearing,0.6072,1.0381,Yes,Yes,0.200
137,7,Bearing_Faulty,Bearing,0.6693,0.9434,Yes,Yes,0.200
138,8,Bearing_Faulty,Bearing,0.6060,1.0699,Yes,Yes,0.200
139,8,Bearing_Faulty,Bearing,0.5959,1.0786,Yes,Yes,0.200
140,8,Bearing_Faulty,Bearing,0.6070,1.0641,Yes,Yes,0.200
141,8,Bearing_Faulty,Bearing,0.5772,1.1094,Yes,Yes,0.200
142,8,Bearing_Faulty,Bearing,0.6911,0.9254,Yes,Yes,0.200
143,8,Bearing_Faulty,Bearing,0.6398,1.0012,Yes,Yes,0.200
144,8,Bearing_Faulty,Bearing,0.6273,1.0317,Yes,Yes,0.200
145,8,Bearing_Faulty,Bearing,0.6346,1.0150,Yes,Yes,0.200
146,8,Bearing_Faulty,Bearing,0.6378,1.0113,Yes,Yes,0.200
147,8,Bearing_Faulty,Bearing,0.6631,0.9754,Yes,Yes,0.200
148,8,Bearing_Faulty,Bearing,0.5689,1.1162,Yes,Yes,0.200
149,8,Bearing_Faulty,Bearing,0.6075,1.0564,Yes,Yes,0.200
150,8,Bearing_Faulty,Bearing,0.6713,0.9638,Yes,Yes,0.200
151,8,Bearing_Faulty,Bearing,0.6455,1.0051,Yes,Yes,0.200
152,8,Bearing_Faulty,Bearing,0.6149,1.0521,Yes,Yes,0.200
153,8,Bearing_Faulty,Bearing,0.6292,1.0129,Yes,Yes,0.200
154,8,Bearing_Faulty,Bearing,0.6038,1.0570,Yes,Yes,0.200
155,8,Bearing_Faulty,Bearing,0.6522,1.0016,Yes,Yes,0.200
156,8,Bearing_Faulty,Bearing,0.6315,1.0270,Yes,Yes,0.200
157,8,Bearing_Faulty,Bearing,0.6065,1.0570,Yes,Yes,0.200
158,9,Imbalance,Bearing,0.6338,1.0236,No,Yes,0.200
159,9,Imbalance,Bearing,0.6048,1.0630,No,Yes,0.200
160,9,Imbalance,Bearing,0.5666,1.1170,No,Yes,0.200
161,9,Imbalance,Bearing,0.6408,1.0074,No,Yes,0.200
162,9,Imbalance,Bearing,0.6278,1.0202,No,Yes,0.200
163,9,Imbalance,Bearing,0.6634,0.9642,No,Yes,0.200
164,9,Imbalance,Bearing,0.5852,1.0825,No,Yes,0.200
165,9,Imbalance,Bearing,0.6375,1.0071,No,Yes,0.200
166,9,Imbalance,Bearing,0.6810,0.9377,No,Yes,0.200
167,9,Imbalance,Bearing,0.6576,0.9811,No,Yes,0.200
168,9,Imbalance,Bearing,0.6762,0.9328,No,Yes,0.200
169,9,Imbalance,Bearing,0.6349,1.0157,No,Yes,0.200
170,9,Imbalance,Bearing,0.6850,0.9303,No,Yes,0.200
171,9,Imbalance,Bearing,0.6461,1.0001,No,Yes,0.200
172,9,Imbalance,Bearing,0.6349,1.0201,No,Yes,0.200
173,9,Imbalance,Bearing,0.6486,0.9985,No,Yes,0.200
174,9,Imbalance,Bearing,0.6030,1.0677,No,Yes,0.200
175,9,Imbalance,Bearing,0.6781,0.9428,No,Yes,0.200
176,9,Imbalance,Bearing,0.6899,0.9249,No,Yes,0.200
177,9,Imbalance,Bearing,0.6558,0.9812,No,Yes,0.200
