Sample_ID,Original_Class,GT_Physics,Pred_Class,Confidence,Signal_Duration_sec,Sufficient_Signal,Min_Duration_Required,RPM,Correct,Notes
0,1,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
1,1,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
2,1,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
3,1,Bearing,Misalignment,0.8023,0.200,No,0.474,1900,No,Mismatch - likely due to short signal duration | WARNING: Signal too short (0.200s < 0.474s required)
4,1,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
5,1,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
6,1,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
7,1,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
8,1,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
9,1,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
10,1,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
11,1,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
12,1,Bearing,Misalignment,0.6744,0.200,No,0.474,1900,No,Mismatch - likely due to short signal duration | WARNING: Signal too short (0.200s < 0.474s required)
13,1,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
14,1,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
15,1,Bearing,Bearing,0.9959,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
16,1,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
17,1,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
18,1,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
19,1,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
20,2,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
21,2,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
22,2,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
23,2,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
24,2,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
25,2,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
26,2,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
27,2,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
28,2,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
29,2,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
30,2,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
31,2,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
32,2,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
33,2,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
34,2,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
35,2,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
36,2,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
37,2,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
