Filename,Source_Folder,Predicted_Class,Confidence,Est_RPM,Status
H1.mat,Healthy,Normal,0.9998,2988.3,OK
H10.mat,Healthy,Normal,0.9998,2929.7,OK
H100.mat,Healthy,Normal,0.9987,2988.3,OK
H101.mat,Healthy,Normal,0.9990,2988.3,OK
H102.mat,Healthy,Normal,0.9987,2988.3,OK
H103.mat,Healthy,Normal,0.9984,2988.3,OK
H11.mat,Healthy,Normal,0.9995,2988.3,OK
H12.mat,Healthy,Normal,0.9997,2929.7,OK
H13.mat,Healthy,Normal,0.9998,2988.3,OK
H14.mat,Healthy,Normal,0.9997,2988.3,OK
H15.mat,Healthy,Normal,0.9996,2929.7,OK
H16.mat,Healthy,Normal,0.9996,2929.7,OK
H17.mat,Healthy,Normal,0.9995,2988.3,OK
H18.mat,Healthy,Normal,0.9995,2988.3,OK
H19.mat,Healthy,Normal,0.9989,2988.3,OK
H2.mat,Healthy,Normal,0.9998,2988.3,OK
H20.mat,Healthy,Normal,0.9993,2988.3,OK
H21.mat,Healthy,Normal,0.9994,2988.3,OK
H22.mat,Healthy,Normal,0.9987,2988.3,OK
H23.mat,Healthy,Normal,0.9986,2988.3,OK
H24.mat,Healthy,Normal,0.9993,2988.3,OK
H25.mat,Healthy,Normal,0.9994,2988.3,OK
H26.mat,Healthy,Normal,0.9986,2988.3,OK
H27.mat,Healthy,Normal,0.9993,2988.3,OK
H28.mat,Healthy,Normal,0.9992,2988.3,OK
H29.mat,Healthy,Normal,0.9993,2988.3,OK
H3.mat,Healthy,Normal,0.9994,2988.3,OK
H30.mat,Healthy,Normal,0.9997,2988.3,OK
H31.mat,Healthy,Normal,0.9990,2988.3,OK
H32.mat,Healthy,Normal,0.9989,2988.3,OK
H33.mat,Healthy,Normal,0.9994,2988.3,OK
H34.mat,Healthy,Normal,0.9976,2988.3,OK
H35.mat,Healthy,Normal,0.9995,2988.3,OK
H36.mat,Healthy,Normal,0.9989,2988.3,OK
H37.mat,Healthy,Normal,0.9981,2988.3,OK
H38.mat,Healthy,Normal,0.9987,2988.3,OK
H39.mat,Healthy,Normal,0.9985,2988.3,OK
H4.mat,Healthy,Normal,0.9999,2988.3,OK
H40.mat,Healthy,Normal,0.9983,2988.3,OK
H41.mat,Healthy,Normal,0.9995,2988.3,OK
H42.mat,Healthy,Normal,0.9997,2988.3,OK
H43.mat,Healthy,Normal,0.9993,2988.3,OK
H44.mat,Healthy,Normal,0.9990,2988.3,OK
H45.mat,Healthy,Normal,0.9992,2988.3,OK
H46.mat,Healthy,Normal,0.9992,2988.3,OK
H47.mat,Healthy,Normal,0.9992,2988.3,OK
H48.mat,Healthy,Normal,0.9989,2988.3,OK
H49.mat,Healthy,Normal,0.9993,2988.3,OK
H5.mat,Healthy,Normal,0.9999,2988.3,OK
H50.mat,Healthy,Normal,0.9992,2988.3,OK
H51.mat,Healthy,Normal,0.9991,2988.3,OK
H52.mat,Healthy,Normal,0.9991,2988.3,OK
H53.mat,Healthy,Normal,0.9993,2988.3,OK
H54.mat,Healthy,Normal,0.9994,2988.3,OK
H55.mat,Healthy,Normal,0.9991,2988.3,OK
H56.mat,Healthy,Normal,0.9994,2988.3,OK
H57.mat,Healthy,Normal,0.9997,2988.3,OK
H58.mat,Healthy,Normal,0.9994,2988.3,OK
H59.mat,Healthy,Normal,0.9997,2988.3,OK
H6.mat,Healthy,Normal,0.9991,2988.3,OK
H60.mat,Healthy,Normal,0.9998,2988.3,OK
H61.mat,Healthy,Normal,0.9995,2988.3,OK
H62.mat,Healthy,Normal,0.9995,2988.3,OK
H63.mat,Healthy,Normal,0.9998,2988.3,OK
H64.mat,Healthy,Normal,0.9994,2988.3,OK
H65.mat,Healthy,Normal,0.9995,2988.3,OK
H66.mat,Healthy,Normal,0.9997,2988.3,OK
H67.mat,Healthy,Normal,0.9995,2988.3,OK
H68.mat,Healthy,Normal,0.9996,2988.3,OK
H69.mat,Healthy,Normal,0.9996,2988.3,OK
H7.mat,Healthy,Normal,0.9996,2988.3,OK
H70.mat,Healthy,Normal,0.9993,2988.3,OK
H71.mat,Healthy,Normal,0.9992,2988.3,OK
H72.mat,Healthy,Normal,0.9994,2988.3,OK
H73.mat,Healthy,Normal,0.9995,2988.3,OK
H74.mat,Healthy,Normal,0.9997,2988.3,OK
H75.mat,Healthy,Normal,0.9994,2988.3,OK
H76.mat,Healthy,Normal,0.9989,2988.3,OK
H77.mat,Healthy,Normal,0.9995,2988.3,OK
H78.mat,Healthy,Normal,0.9995,2988.3,OK
H79.mat,Healthy,Normal,0.9990,2988.3,OK
H8.mat,Healthy,Normal,0.9995,2988.3,OK
H80.mat,Healthy,Normal,0.9992,2988.3,OK
H81.mat,Healthy,Normal,0.9988,2988.3,OK
H82.mat,Healthy,Normal,0.9981,2988.3,OK
H83.mat,Healthy,Normal,0.9990,2988.3,OK
H84.mat,Healthy,Normal,0.9982,2988.3,OK
H85.mat,Healthy,Normal,0.9992,2988.3,OK
H86.mat,Healthy,Normal,0.9996,2988.3,OK
H87.mat,Healthy,Normal,0.9994,2988.3,OK
H88.mat,Healthy,Normal,0.9987,2988.3,OK
H89.mat,Healthy,Normal,0.9995,2988.3,OK
H9.mat,Healthy,Normal,0.9995,2988.3,OK
H90.mat,Healthy,Normal,0.9990,2988.3,OK
H91.mat,Healthy,Normal,0.9977,2988.3,OK
H92.mat,Healthy,Normal,0.9991,2988.3,OK
H93.mat,Healthy,Normal,0.9981,2988.3,OK
H94.mat,Healthy,Normal,0.9990,2988.3,OK
H95.mat,Healthy,Normal,0.9994,2988.3,OK
H96.mat,Healthy,Normal,0.9992,2988.3,OK
H97.mat,Healthy,Normal,0.9993,2988.3,OK
H98.mat,Healthy,Normal,0.9994,2988.3,OK
H99.mat,Healthy,Normal,0.9990,2988.3,OK
F1.mat,Faulty,Normal,0.9995,2988.3,OK
F10.mat,Faulty,Normal,0.9991,2988.3,OK
F100.mat,Faulty,Normal,0.9995,2988.3,OK
F101.mat,Faulty,Normal,0.9967,2988.3,OK
F102.mat,Faulty,Normal,0.9992,2226.6,OK
F103.mat,Faulty,Normal,0.9996,2402.3,OK
F104.mat,Faulty,Normal,0.9986,2988.3,OK
F105.mat,Faulty,Normal,0.9992,2988.3,OK
F106.mat,Faulty,Normal,0.9993,2988.3,OK
F107.mat,Faulty,Normal,0.9992,2988.3,OK
F108.mat,Faulty,Normal,0.9995,2988.3,OK
F109.mat,Faulty,Normal,0.9995,2988.3,OK
