FeatureSet,Model,AvgAccuracy,StdAccuracy,AvgPrecision,AvgRecall,AvgF1,TotalTP,TotalTN,TotalFP,TotalFN,NumFolds,Samples
F6,SVM-Q,0.9817993600602296,0.03018238349125663,1.0,0.965909090909091,0.9817993600602296,113,103,0,4,10,220
F6,RF,0.9770374552983249,0.02298902645552135,0.9923076923076923,0.9651515151515151,0.9777805383022775,113,102,1,4,10,220
F6,LGBM,0.9770374552983249,0.02298902645552135,0.9923076923076923,0.9651515151515151,0.9777805383022775,113,102,1,4,10,220
F7,RF,0.9770374552983249,0.02298902645552135,0.9923076923076923,0.9651515151515151,0.9777805383022775,113,102,1,4,10,220
F7,LGBM,0.9770374552983249,0.02298902645552135,0.9923076923076923,0.9651515151515151,0.9777805383022775,113,102,1,4,10,220
F7,SVM-Q,0.9724920007528703,0.041777562945970646,0.990909090909091,0.9568181818181818,0.9730848861283643,112,102,1,5,10,220
F7,KNN-W,0.968360624882364,0.04086434690421176,0.990909090909091,0.9492424242424242,0.9691511387163562,111,102,1,6,10,220
F6,KNN-W,0.9681441746659137,0.029152200884346273,0.9923076923076923,0.9484848484848485,0.9686896292113684,111,102,1,6,10,220
F4,SVM-Q,0.9635987201204592,0.03353020505670607,0.9833333333333332,0.9484848484848483,0.9651138716356108,111,101,2,6,10,220
F4,LGBM,0.9635987201204592,0.02731671315323942,0.9839743589743589,0.9484848484848483,0.9650993788819877,111,101,2,6,10,220
F4,RF,0.9544889892715981,0.03474323182185658,0.9756410256410255,0.9393939393939392,0.9559567099567099,110,100,3,7,10,220
F2,LGBM,0.9542913608131001,0.03580618825893292,0.9839743589743589,0.931060606060606,0.9551182006399397,109,101,2,8,10,220
F3,LGBM,0.9542913608131001,0.04591872601266156,0.9832167832167833,0.931060606060606,0.95475588179936,109,101,2,8,10,220
F4,KNN-W,0.9545078110295503,0.03473089189298244,1.0,0.915151515151515,0.9545078110295501,107,103,0,10,10,220
F5,SVM-Q,0.9503576134010917,0.04253603303273439,0.97488344988345,0.9318181818181819,0.9516606437041221,109,100,3,8,10,220
F5,LGBM,0.9499435347261433,0.043372748311070665,0.9671911421911421,0.9393939393939392,0.951513457556936,110,99,4,7,10,220
F5,RF,0.9501411631846415,0.03788127904942836,0.9679487179487178,0.9393939393939392,0.9514805194805195,110,99,4,7,10,220
F7,LDA,0.9501411631846415,0.023838066672777124,1.0,0.9060606060606059,0.9501411631846415,106,103,0,11,10,220
F3,RF,0.9495294560511953,0.043327712356762735,0.9832167832167833,0.9219696969696969,0.9499939770374553,108,101,2,9,10,220
F2,SVM-Q,0.9456145303971392,0.044592185643772285,0.9832167832167833,0.915151515151515,0.946103519668737,107,101,2,10,10,220
F1,LGBM,0.9412478825522304,0.028094273222423766,0.9833333333333332,0.9060606060606059,0.9421701486918878,106,101,2,11,10,220
F5,KNN-W,0.9410502540937324,0.04105474138361241,0.9748834498834498,0.9143939393939393,0.9420747223790702,107,100,3,10,10,220
F2,RF,0.9402220967438358,0.04168995593601368,0.9839743589743589,0.9045454545454545,0.9399233954451345,106,101,2,11,10,220
F1,RF,0.9369000564652739,0.02875072814520833,0.9773809523809524,0.9060606060606059,0.938068091328961,106,100,3,11,10,220
F3,SVM-Q,0.9360718991153775,0.04212101800745614,0.9748834498834498,0.9045454545454545,0.9364225484660267,106,100,3,11,10,220
F2,KNN-W,0.9365047995482778,0.046497115000009456,0.9832167832167833,0.8977272727272727,0.9361223414266892,105,101,2,12,10,220
F3,KNN-W,0.9317428947863731,0.030576148550906856,0.9671911421911421,0.90530303030303,0.9333128176171656,106,99,4,11,10,220
F1,SVM-Q,0.9319405232448711,0.036363952980857074,0.9742424242424242,0.8969696969696969,0.9329794842838322,105,100,3,12,10,220
F1,KNN-W,0.9280255975908152,0.04091286526166022,0.9734848484848484,0.890151515151515,0.9291784302653868,104,100,3,13,10,220
F5,LDA,0.9228307923960098,0.04986373563173849,0.9816666666666667,0.8712121212121213,0.9214502164502164,102,101,2,15,10,220
F6,LDA,0.9187182382834557,0.032540638159750494,0.9825757575757577,0.8643939393939395,0.9184312064746847,101,101,2,16,10,220
F1,LDA,0.914153961980049,0.030391130687066302,0.990909090909091,0.8469696969696969,0.9124355354790138,99,102,1,18,10,220
F4,LDA,0.9141539619800488,0.022591982735972405,0.9916666666666666,0.8469696969696969,0.9124025974025974,99,102,1,18,10,220
F3,LDA,0.872360248447205,0.02841680473675282,0.9809090909090908,0.7765151515151516,0.8655621266605248,91,101,2,26,10,220
F2,LDA,0.8675983436853002,0.044192298269739576,1.0,0.7507575757575757,0.8549739632348329,88,103,0,29,10,220
