feature,importance_mean,importance_std
tan_spec_spread,0.22188923344420863,0.005677486788218957
axial_ratio,0.1797808206690526,0.010819116574622662
ax_freq_median,0.15170123084508425,0.00734591365213699
radial_ratio,0.15070618322442733,0.00718664116589547
rad_spec_spread,0.1437252836674418,0.005779544953612122
ax_spec_spread,0.11559279498020714,0.006276088359517355
tan_rms,0.11391514780947745,0.0037138088190362233
ax_spec_centroid,0.10174753518335455,0.005114105752636416
tan_spec_centroid,0.10113228722649122,0.003024491731472609
rad_spec_centroid,0.09179749989834222,0.003637624006301312
tan_freq_rolloff85,0.07593214519275607,0.00801833244844346
tan_freq_median,0.06992969474958234,0.005855399450287477
rad_kurt,0.06251121885290004,0.0070186958941999885
ax_freq_rolloff85,0.05965033072630237,0.004454800889358413
tan_kurt,0.05443648008416455,0.005396328747179066
rad_rms,0.035986528073328694,0.003969437056409346
rad_freq_rolloff85,0.03523141708517511,0.005094902348955651
rad_crest,0.032950627116712074,0.004812063394049755
ax_rms,0.030136329475847455,0.005038838433545232
rad_freq_median,0.02872655499899097,0.00351366628226476
tan_crest,0.014434720631601783,0.0026532808149554556
ax_crest,0.00307200792146618,0.0018966367759508068
ax_kurt,0.0005468077887087585,0.0005552530022269321
