feature,importance_mean,importance_std
tan_spec_centroid,0.25771276595744685,0.031086643785486003
ax_freq_median,0.18354863221884504,0.028775824217960374
ax_spec_centroid,0.11906534954407298,0.026481587393068023
rad_spec_centroid,0.05101063829787238,0.0178689510205426
tan_rolloff85,0.050980243161094264,0.019513263543216926
rad_kurt,0.029772036474164182,0.011188615612178295
tan_spec_spread,0.027712765957446858,0.003848212180358671
ax_over_rad,0.027583586626139852,0.011062691998678688
axial_ratio,0.021595744680851105,0.0034323969797663335
tangential_ratio,0.01739361702127661,0.0032337625858661024
ax_pow_1x_ratio,0.014232522796352658,0.006729091319518511
ax_p_1x,0.013518237082066937,0.005763235742714904
ax_rms,0.01155775075987845,0.011120046354962809
rad_pow_1x_ratio,0.011322188449848091,0.00480739470756433
ax_p_high,0.009361702127659592,0.008378761411872977
ax_p_low,0.008092705167173291,0.010347328918616623
rad_p_mid,0.004665653495440751,0.006919918679167312
rad_rolloff85,0.002872340425531914,0.0014893617021276844
rad_p_high,0.0025911854103343713,0.004266120139441895
tan_pow_1x_ratio,0.0024468085106383207,0.004050344435626401
rad_crest,0.002180851063829765,0.0008308776250964602
tan_p_high,0.0021200607902735593,0.0034886944280064164
ax_p_2x,0.0017857142857143015,0.003571428571428603
ax_rolloff85,0.0016337386018237066,0.002635584376295544
rad_rms,0.0010562310030395273,0.003344362963152892
rad_p_low,0.0010182370820668795,0.002932618819217602
rad_freq_median,0.0009574468085106247,0.0008836833896721231
tan_kurt,0.000851063829787253,0.0038413789452144934
rad_pow_2x_ratio,0.0008206686930091234,0.0024177511542234392
tan_crest,0.0006914893617021178,0.000851063829787222
ax_crest,5.3191489361701375e-05,0.0007016439339506772
tan_p_low,0.0,0.0
tan_p_1x,0.0,0.0
rad_p_2x,0.0,0.0
ax_kurt,0.0,0.0
tan_pow_2x_ratio,0.0,0.0
tan_p_2x,0.0,0.0
tan_rms,0.0,0.0
ax_pow_2x_ratio,-5.3191489361701375e-05,0.0002605840151896961
tan_p_mid,-5.3191489361701375e-05,0.0002605840151896961
rad_p_1x,-5.3191489361701375e-05,0.0002605840151896961
ax_spec_spread,-6.838905775075066e-05,0.0019364827278050534
rad_over_ax,-0.00012158054711245647,0.0016913739764073173
radial_ratio,-0.0002811550151975606,0.001814280342042988
ax_p_mid,-0.0007978723404255206,0.0006514600379742403
rad_spec_spread,-0.0007978723404255206,0.0009213036210472621
tan_freq_median,-0.0013297872340425343,0.0
